timestamp (epoch),loop time (s),des current,velocityM (Rad/S),Futek Torque (Nm),v_busM,i_busM,v_qM,i_qM,v_dM,i_dM,accelM,velocityL (Rad/S),v_busL,i_busL,v_qL,i_qL,v_dL,i_dL,accelL
1682011370.9950054,1682011370,14.0,11.73035790265389,17.050690345774697,24.7,-3.26,3.257,-21.17,1.95,4.09,4411.035240499625,12.393001241994401,23.3,10.35,11.519,13.92,-0.952,0.53,2859.815948575159
1682011370.9995959,1682011370,14.0,12.266173983016147,19.51076542130801,24.8,-3.23,1.66,-22.82,2.064,-3.33,828.031200837889,12.441870461050243,23.1,10.87,11.344,14.68,-1.085,0.44,2827.381862830627
1682011371.0044374,1682011370,14.0,12.266173983016147,17.305698127994624,24.8,-3.23,1.66,-22.82,2.064,-3.33,828.031200837889,12.131783630612585,23.3,11.08,10.805,15.61,-1.206,0.23,2644.718742672187
1682011371.0087543,1682011371,14.0,12.266173983016147,17.59570697836237,24.8,-3.23,1.66,-22.82,2.064,-3.33,828.031200837889,12.131783630612585,23.3,11.08,10.805,15.61,-1.206,0.23,2644.718742672187
1682011371.013144,1682011371,14.0,11.773409357536416,11.225512575457017,24.7,-2.9,1.974,-27.05,2.585,-1.76,851.7387578169346,12.131783630612585,23.3,11.08,10.805,15.61,-1.206,0.23,2644.718742672187
1682011371.017372,1682011371,14.0,11.876965559821413,13.840592381359293,24.8,-3.39,3.252,-19.25,1.54,3.4,2892.8922273763756,11.801916401985656,23.4,8.35,10.884,12.11,-0.777,-0.82,871.3706726607879
1682011371.0218942,1682011371,14.0,11.876965559821413,15.725649908749642,24.8,-3.39,3.252,-19.25,1.54,3.4,2892.8922273763756,12.09804059840736,23.3,9.39,11.33,12.96,-0.795,0.27,2802.543912187252
1682011371.0267785,1682011371,14.0,11.907217933522647,16.755681342814395,24.8,-3.2,2.795,-18.94,1.741,-0.25,1370.991869096458,12.224867857385615,23.3,10.33,11.31,14.13,-0.965,0.43,2761.4612318884056
1682011371.032524,1682011371,14.0,12.25512023108685,19.11075321390422,24.7,-3.24,1.539,-22.78,2.209,-4.02,1882.7082193879019,12.224867857385615,23.3,10.33,11.31,14.13,-0.965,0.43,2761.4612318884056
1682011371.0369973,1682011371,14.0,12.25512023108685,17.6507086568804,24.7,-3.24,1.539,-22.78,2.209,-4.02,1882.7082193879019,12.224867857385615,23.3,10.33,11.31,14.13,-0.965,0.43,2761.4612318884056
1682011371.0421245,1682011371,14.0,11.909545039191974,13.400578953215108,24.7,-2.97,1.242,-27.59,2.907,-5.62,1215.0876282185125,11.625056371116898,23.3,9.88,10.386,14.63,-1.061,-0.24,743.6405020375959
1682011371.0464525,1682011371,14.0,11.909545039191974,12.34554675618762,24.7,-2.97,1.242,-27.59,2.907,-5.62,1215.0876282185125,11.625056371116898,23.3,9.88,10.386,14.63,-1.061,-0.24,743.6405020375959
1682011371.0513575,1682011371,14.0,11.909545039191974,15.7306500613422,24.7,-2.97,1.242,-27.59,2.907,-5.62,1215.0876282185125,11.625056371116898,23.3,9.88,10.386,14.63,-1.061,-0.24,743.6405020375959
1682011371.0561593,1682011371,14.0,11.909545039191974,16.830683631702623,24.7,-2.97,1.242,-27.59,2.907,-5.62,1215.0876282185125,12.344713799355892,23.3,10.36,11.479,13.98,-0.926,0.58,884.4652887291577
1682011371.0606127,1682011371,14.0,12.256865560338845,19.460763895382538,24.9,-3.25,1.795,-21.95,2.021,-2.66,690.842172239353,12.344713799355892,23.3,10.36,11.479,13.98,-0.926,0.58,884.4652887291577
1682011371.064939,1682011371,14.0,12.256865560338845,17.155693550218203,24.9,-3.25,1.795,-21.95,2.021,-2.66,690.842172239353,12.344713799355892,23.3,10.36,11.479,13.98,-0.926,0.58,884.4652887291577
1682011371.0694742,1682011371,14.0,12.256865560338845,17.99571918576616,24.9,-3.25,1.795,-21.95,2.021,-2.66,690.842172239353,12.344713799355892,23.3,10.36,11.479,13.98,-0.926,0.58,884.4652887291577
1682011371.0743675,1682011371,14.0,12.256865560338845,11.340516085085603,24.9,-3.25,1.795,-21.95,2.021,-2.66,690.842172239353,11.595967550250325,23.4,9.77,10.384,14.49,-1.027,-0.16,642.0304016881413
1682011371.0791717,1682011371,14.0,12.256865560338845,14.620616185796678,24.9,-3.25,1.795,-21.95,2.021,-2.66,690.842172239353,11.595967550250325,23.4,9.77,10.384,14.49,-1.027,-0.16,642.0304016881413
